epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4740.83,0.58026,0.40834,1.16647,0.99221,0.98373,0.99409,0.9519,0.36761,0.25369,1.46242,0.00104231,0.00104231,0.00104231
43,4807.55,0.57408,0.40822,1.17337,0.99613,0.9801,0.99404,0.95713,0.36175,0.25475,1.84986,0.00103288,0.00103288,0.00103288
44,4873.85,0.57445,0.40832,1.17322,0.98779,0.98974,0.99336,0.95864,0.37618,0.26671,1.53354,0.00102345,0.00102345,0.00102345
45,4936.29,0.56774,0.40048,1.17032,0.9766,0.98366,0.99315,0.9664,0.34357,0.26388,1.60363,0.00101402,0.00101402,0.00101402
46,4998.17,0.5705,0.40683,1.17141,0.97995,0.98746,0.9936,0.96726,0.33004,0.25741,1.41627,0.00100459,0.00100459,0.00100459
47,5062.01,0.56364,0.39528,1.15814,0.9895,0.98427,0.99378,0.9693,0.32302,0.23489,1.58726,0.000995156,0.000995156,0.000995156
48,5123.74,0.56608,0.40241,1.17004,0.99194,0.97949,0.99346,0.95885,0.35971,0.2625,1.80938,0.000985724,0.000985724,0.000985724
49,5185.25,0.56372,0.3976,1.16717,0.97763,0.97949,0.99258,0.95602,0.34312,0.25698,1.53412,0.000976293,0.000976293,0.000976293
50,5246.41,0.55365,0.39488,1.15222,0.98679,0.98896,0.99433,0.95539,0.3694,0.26118,1.40029,0.000966861,0.000966861,0.000966861
51,5308.6,0.55606,0.39391,1.1574,0.98987,0.98974,0.99458,0.97013,0.33482,0.24503,1.46323,0.00095743,0.00095743,0.00095743
52,5369.73,0.54476,0.39004,1.15301,0.98685,0.98378,0.99437,0.95987,0.35471,0.24964,1.65099,0.000947999,0.000947999,0.000947999
53,5430.96,0.54978,0.38991,1.14721,0.97835,0.98972,0.99433,0.96399,0.33261,0.24769,1.62339,0.000938567,0.000938567,0.000938567
54,5491.68,0.54716,0.39193,1.1631,0.98434,0.99364,0.99452,0.97023,0.33162,0.24811,1.59477,0.000929136,0.000929136,0.000929136
55,5553.66,0.5488,0.3891,1.1545,0.98858,0.98974,0.99416,0.9672,0.35354,0.26376,1.6635,0.000919704,0.000919704,0.000919704
56,5613.43,0.54755,0.38736,1.15229,0.98847,0.98974,0.99467,0.95618,0.35397,0.24677,1.55002,0.000910273,0.000910273,0.000910273
57,5674.77,0.55164,0.39144,1.15399,0.98203,0.99255,0.99427,0.9693,0.33765,0.25302,1.51854,0.000900842,0.000900842,0.000900842
58,5734.97,0.54011,0.38698,1.15422,0.99414,0.98581,0.99435,0.96561,0.33098,0.2417,1.82947,0.00089141,0.00089141,0.00089141
59,5795.44,0.53995,0.38384,1.14287,0.99458,0.989,0.99427,0.96953,0.36526,0.26782,1.36535,0.000881979,0.000881979,0.000881979
60,5854.65,0.54013,0.38564,1.15538,0.99293,0.98514,0.99412,0.95816,0.34908,0.25441,1.46154,0.000872547,0.000872547,0.000872547
61,5915.12,0.53859,0.38814,1.1482,0.98326,0.98974,0.99447,0.96951,0.31222,0.22584,1.88595,0.000863116,0.000863116,0.000863116
62,5976.53,0.53605,0.37982,1.15024,0.99058,0.98974,0.99441,0.96621,0.32603,0.24165,1.346,0.000853685,0.000853685,0.000853685
63,6041.33,0.52834,0.379,1.14176,0.98712,0.9894,0.9944,0.97031,0.32449,0.23524,1.45759,0.000844253,0.000844253,0.000844253
64,6107.74,0.52852,0.37727,1.14116,0.98948,0.98891,0.99454,0.97053,0.33714,0.2459,1.41876,0.000834822,0.000834822,0.000834822
65,6167.15,0.52818,0.38272,1.14305,0.98579,0.98737,0.99417,0.97494,0.30186,0.22858,1.61676,0.00082539,0.00082539,0.00082539
66,6228.14,0.52645,0.37986,1.14205,0.99502,0.97999,0.99415,0.96849,0.33733,0.23955,1.40495,0.000815959,0.000815959,0.000815959
67,6288.14,0.5255,0.37516,1.13611,0.99669,0.98803,0.9947,0.9641,0.36654,0.25345,1.29803,0.000806528,0.000806528,0.000806528
68,6347.58,0.52912,0.37898,1.14231,0.99462,0.98824,0.99464,0.97165,0.30793,0.23147,1.68915,0.000797096,0.000797096,0.000797096
69,6405.33,0.52287,0.37862,1.13928,0.98385,0.98974,0.99433,0.97141,0.3104,0.23911,1.61766,0.000787665,0.000787665,0.000787665
70,6461.65,0.50757,0.36825,1.1366,0.99536,0.99316,0.99462,0.97217,0.32189,0.22973,1.68542,0.000778233,0.000778233,0.000778233
71,6518.69,0.51899,0.37224,1.13617,0.99045,0.99468,0.9947,0.97125,0.30478,0.23022,1.58628,0.000768802,0.000768802,0.000768802
72,6574.58,0.51106,0.36601,1.13315,0.99192,0.98914,0.99483,0.97265,0.31315,0.23701,1.60206,0.000759371,0.000759371,0.000759371
73,6633.68,0.51782,0.37201,1.13546,0.99207,0.99331,0.9949,0.97057,0.32725,0.23297,1.57121,0.000749939,0.000749939,0.000749939
74,6695.69,0.51462,0.37091,1.13681,0.99202,0.99412,0.99458,0.9763,0.30573,0.22832,1.73893,0.000740508,0.000740508,0.000740508
75,6757.85,0.50912,0.36782,1.13458,0.9949,0.98583,0.99474,0.97587,0.30595,0.2224,1.57621,0.000731076,0.000731076,0.000731076
76,6820.57,0.51393,0.37397,1.14247,0.98884,0.99287,0.99469,0.97494,0.32342,0.24638,1.40363,0.000721645,0.000721645,0.000721645
77,6883.15,0.5082,0.36534,1.1292,0.99495,0.98896,0.99462,0.97104,0.30536,0.23529,1.40228,0.000712214,0.000712214,0.000712214
78,6944.6,0.5077,0.36559,1.12967,0.99523,0.98974,0.99463,0.974,0.31517,0.22586,1.43574,0.000702782,0.000702782,0.000702782
79,7006.11,0.50539,0.36673,1.1214,0.99172,0.98974,0.99465,0.97573,0.31118,0.22699,1.91118,0.000693351,0.000693351,0.000693351
80,7067.45,0.5086,0.36604,1.12659,0.99239,0.98974,0.99476,0.9661,0.32503,0.23765,1.41719,0.000683919,0.000683919,0.000683919
81,7132.19,0.50245,0.35974,1.12672,0.99453,0.98275,0.99475,0.97499,0.29356,0.21715,1.56383,0.000674488,0.000674488,0.000674488
82,7191.21,0.50102,0.36211,1.12424,0.98805,0.98974,0.99476,0.96144,0.33442,0.2247,1.61282,0.000665057,0.000665057,0.000665057
83,7248.14,0.50384,0.36085,1.12939,0.99269,0.98974,0.99439,0.97601,0.32162,0.24242,1.34478,0.000655625,0.000655625,0.000655625
84,7307.04,0.49851,0.36354,1.12508,0.99522,0.98849,0.99485,0.97315,0.30524,0.2257,1.62436,0.000646194,0.000646194,0.000646194
85,7364.27,0.49982,0.36133,1.13201,0.99266,0.99243,0.99485,0.97529,0.3335,0.25302,1.44056,0.000636762,0.000636762,0.000636762
86,7426.67,0.49439,0.35453,1.11748,0.99388,0.99008,0.99478,0.97577,0.28565,0.20953,1.62103,0.000627331,0.000627331,0.000627331
87,7486.79,0.49169,0.35686,1.12602,0.98985,0.99882,0.99485,0.9684,0.30639,0.22794,1.51471,0.0006179,0.0006179,0.0006179
88,7548.75,0.48777,0.35808,1.11478,0.98726,0.98803,0.99443,0.97568,0.29051,0.22283,1.52689,0.000608468,0.000608468,0.000608468
89,7611.1,0.48827,0.35624,1.12132,0.99131,0.9868,0.99451,0.96185,0.30574,0.21963,1.55188,0.000599037,0.000599037,0.000599037
90,7674.01,0.49565,0.35884,1.12953,0.97988,0.99935,0.9946,0.96484,0.30136,0.22761,1.36849,0.000589605,0.000589605,0.000589605
91,7736.02,0.49468,0.36,1.12649,0.98256,0.99487,0.99454,0.97464,0.30231,0.22301,1.60784,0.000580174,0.000580174,0.000580174
92,7797.07,0.48919,0.35353,1.12306,0.9781,0.99919,0.99446,0.97684,0.28924,0.21695,1.73105,0.000570743,0.000570743,0.000570743
93,7858.43,0.48304,0.35048,1.11104,0.99541,0.98848,0.99454,0.97826,0.29109,0.21292,1.65895,0.000561311,0.000561311,0.000561311
94,7919.22,0.48939,0.3587,1.12292,0.99596,0.98974,0.9948,0.97771,0.29742,0.21447,1.19171,0.00055188,0.00055188,0.00055188
95,7979.37,0.49179,0.35429,1.11653,0.9791,0.99627,0.99448,0.97685,0.30292,0.22325,1.35896,0.000542448,0.000542448,0.000542448
96,8040.1,0.4861,0.35074,1.12274,0.99433,0.98974,0.99473,0.97711,0.30337,0.22497,1.44748,0.000533017,0.000533017,0.000533017
97,8101.69,0.47986,0.34914,1.10933,0.98283,1,0.99483,0.97548,0.2925,0.22048,1.46822,0.000523586,0.000523586,0.000523586
98,8163.53,0.48686,0.35409,1.12642,0.9927,0.98974,0.99449,0.97484,0.29617,0.21042,1.76432,0.000514154,0.000514154,0.000514154
99,8225.02,0.47553,0.34662,1.10597,0.98579,1,0.9947,0.97305,0.30617,0.2162,1.584,0.000504723,0.000504723,0.000504723
100,8287.75,0.47622,0.34434,1.11818,0.99485,0.9846,0.9946,0.97604,0.3349,0.25139,1.3,0.000495291,0.000495291,0.000495291
101,8349.06,0.48025,0.35024,1.11509,0.98839,0.99417,0.99478,0.97352,0.29437,0.22129,1.54813,0.00048586,0.00048586,0.00048586
102,8412.09,0.47133,0.34331,1.10622,0.99606,0.98789,0.99468,0.97618,0.27629,0.20741,1.45441,0.000476429,0.000476429,0.000476429
103,8495.67,0.47609,0.3499,1.11445,0.98568,1,0.99482,0.97607,0.26715,0.20901,1.44328,0.000466997,0.000466997,0.000466997
104,8551.87,0.47053,0.34636,1.11035,0.98847,0.99412,0.99475,0.97311,0.292,0.21927,1.43904,0.000457566,0.000457566,0.000457566
105,8623.51,0.47327,0.34177,1.1158,0.97992,1,0.99468,0.97451,0.2913,0.22543,1.3874,0.000448134,0.000448134,0.000448134
106,8711.55,0.47285,0.34358,1.10941,0.98418,0.99487,0.99468,0.97416,0.27912,0.21251,1.42568,0.000438703,0.000438703,0.000438703
107,8785.76,0.46924,0.34155,1.11496,0.9863,0.99896,0.99476,0.97646,0.27147,0.20648,1.5543,0.000429272,0.000429272,0.000429272
108,8846.69,0.46168,0.33924,1.10986,0.98202,0.99864,0.99456,0.97395,0.2748,0.21438,1.53822,0.00041984,0.00041984,0.00041984
109,8907.64,0.46715,0.34489,1.11017,0.99563,0.98563,0.99471,0.98073,0.26019,0.20167,1.6459,0.000410409,0.000410409,0.000410409
110,8966.95,0.46107,0.34232,1.1093,0.97892,0.99972,0.99463,0.97866,0.27028,0.21,1.38928,0.000400977,0.000400977,0.000400977
111,9026.95,0.46465,0.34313,1.10847,0.98196,0.99577,0.99464,0.97606,0.28517,0.223,1.30275,0.000391546,0.000391546,0.000391546
112,9090.17,0.45953,0.33726,1.11009,0.98489,1,0.99468,0.97812,0.28127,0.2128,1.38199,0.000382115,0.000382115,0.000382115
113,9155.76,0.45862,0.33684,1.10279,0.98257,1,0.9947,0.97792,0.27661,0.21887,1.5345,0.000372683,0.000372683,0.000372683
114,9221.37,0.46236,0.33684,1.11073,0.9751,0.99558,0.99422,0.97772,0.27117,0.22465,1.49563,0.000363252,0.000363252,0.000363252
115,9283.72,0.45539,0.33264,1.10496,0.98887,0.98631,0.99446,0.97809,0.27888,0.21545,1.79168,0.00035382,0.00035382,0.00035382
116,9347.25,0.45792,0.33373,1.10579,0.9837,0.99487,0.99475,0.9787,0.27875,0.22469,1.33408,0.000344389,0.000344389,0.000344389
117,9410.55,0.45495,0.33489,1.10814,0.98487,1,0.99456,0.97956,0.28573,0.22855,1.35755,0.000334958,0.000334958,0.000334958
118,9472.74,0.46142,0.33671,1.11411,0.98177,0.97339,0.99443,0.97744,0.30605,0.25115,1.2963,0.000325526,0.000325526,0.000325526
119,9535.81,0.45879,0.33826,1.10273,0.98572,0.99969,0.9945,0.97732,0.27246,0.21049,1.49175,0.000316095,0.000316095,0.000316095
120,9600.83,0.45868,0.3363,1.10989,0.98689,1,0.9946,0.97978,0.27768,0.21519,1.55027,0.000306663,0.000306663,0.000306663
121,9662.21,0.4477,0.33014,1.1025,0.98475,0.99321,0.99435,0.97769,0.27381,0.21596,1.43267,0.000297232,0.000297232,0.000297232
122,9724.74,0.44778,0.33075,1.10238,0.97579,0.99662,0.99445,0.97884,0.26565,0.21786,1.45114,0.000287801,0.000287801,0.000287801
123,9787.51,0.45057,0.33167,1.09844,0.9849,0.99879,0.9947,0.97709,0.28305,0.22245,1.34132,0.000278369,0.000278369,0.000278369
124,9849.9,0.45557,0.33395,1.10502,0.9762,0.99895,0.9946,0.97993,0.26445,0.20811,1.60144,0.000268938,0.000268938,0.000268938
125,9911.68,0.44775,0.32819,1.09363,0.98049,0.99419,0.99457,0.97897,0.27309,0.21558,1.38065,0.000259506,0.000259506,0.000259506
126,9975.73,0.44215,0.32503,1.09754,0.97213,0.99453,0.99458,0.97733,0.27116,0.21792,1.41318,0.000250075,0.000250075,0.000250075
127,10038.8,0.45059,0.33167,1.10333,0.98505,0.99467,0.99448,0.9793,0.26526,0.207,1.49734,0.000240644,0.000240644,0.000240644
128,10100.6,0.44347,0.32661,1.09515,0.97599,0.99802,0.99453,0.97845,0.27066,0.21484,1.41452,0.000231212,0.000231212,0.000231212
129,10162.9,0.44733,0.3307,1.11045,0.98039,0.99711,0.99458,0.97997,0.26615,0.21786,1.50315,0.000221781,0.000221781,0.000221781
130,10227,0.44426,0.33156,1.10361,0.98528,0.99442,0.99468,0.97885,0.26201,0.20392,1.56698,0.000212349,0.000212349,0.000212349
131,10289.2,0.43831,0.32337,1.09457,0.9807,0.98774,0.99438,0.97765,0.26961,0.21767,1.52408,0.000202918,0.000202918,0.000202918
132,10353.2,0.44031,0.32495,1.0996,0.98431,0.99057,0.99457,0.97923,0.26632,0.20802,1.5014,0.000193487,0.000193487,0.000193487
133,10416.6,0.43364,0.32189,1.0899,0.98445,0.99696,0.99457,0.97915,0.27042,0.21099,1.40422,0.000184055,0.000184055,0.000184055
134,10480.2,0.43975,0.32528,1.09757,0.9854,0.99577,0.99462,0.97884,0.26144,0.20452,1.55992,0.000174624,0.000174624,0.000174624
135,10541.6,0.42981,0.32097,1.08856,0.98519,0.99845,0.99457,0.98049,0.26457,0.20238,1.61934,0.000165192,0.000165192,0.000165192
136,10603,0.42973,0.32078,1.09629,0.98005,0.99876,0.99448,0.98002,0.26342,0.20972,1.35292,0.000155761,0.000155761,0.000155761
137,10666,0.42518,0.31774,1.08757,0.9698,0.98903,0.99423,0.97879,0.26094,0.22301,1.4946,0.00014633,0.00014633,0.00014633
138,10730.7,0.43414,0.32259,1.09957,0.97743,0.98989,0.99423,0.97831,0.256,0.21975,1.58005,0.000136898,0.000136898,0.000136898
139,10793.8,0.43009,0.32017,1.09697,0.98117,0.99499,0.99419,0.97908,0.25552,0.2127,1.5001,0.000127467,0.000127467,0.000127467
140,10857.3,0.42779,0.32007,1.07892,0.98649,0.98919,0.99443,0.97919,0.25425,0.20936,1.51597,0.000118035,0.000118035,0.000118035
141,10930.7,0.3084,0.23835,1.02261,0.98504,0.99164,0.99453,0.97807,0.2769,0.21589,1.43165,0.000108604,0.000108604,0.000108604
142,10985.2,0.30227,0.23473,1.01798,0.98525,0.99502,0.99449,0.97946,0.27791,0.21732,1.66865,9.91726e-05,9.91726e-05,9.91726e-05
143,11041.8,0.29417,0.23074,1.00475,0.98208,0.99244,0.99443,0.97858,0.2717,0.21104,1.64103,8.97412e-05,8.97412e-05,8.97412e-05
144,11099.3,0.29798,0.23135,1.01517,0.98712,0.99335,0.99444,0.97978,0.2659,0.20887,1.70583,8.03098e-05,8.03098e-05,8.03098e-05
145,11157,0.28918,0.22647,1.00874,0.98669,0.99624,0.99449,0.97893,0.26357,0.20269,1.58743,7.08784e-05,7.08784e-05,7.08784e-05
146,11213.6,0.2892,0.22715,1.01432,0.98461,0.99573,0.99445,0.98017,0.25943,0.19786,1.69652,6.1447e-05,6.1447e-05,6.1447e-05
147,11271.3,0.28688,0.2268,1.00953,0.9894,0.9899,0.99417,0.9788,0.26472,0.20653,1.53253,5.20156e-05,5.20156e-05,5.20156e-05
148,11330.4,0.28694,0.22503,1.0119,0.98489,0.99426,0.99397,0.97777,0.26456,0.20964,1.43898,4.25842e-05,4.25842e-05,4.25842e-05
149,11388,0.28354,0.22418,1.01452,0.97813,0.99659,0.99367,0.97889,0.26263,0.21395,1.42414,3.31528e-05,3.31528e-05,3.31528e-05
150,11446.8,0.28106,0.22256,1.0025,0.98219,0.98352,0.99291,0.97821,0.26452,0.21897,1.44301,2.37214e-05,2.37214e-05,2.37214e-05
